"Country A","Country B","Type","Date of signature","Effective","Status","Source","WHTrates","PE","Other","UN","5(3)(a)C","5(3)(a)S","5(3)(b)","5(4)(a)","5(4)(b)","5(5)(b)","5(6)","5(7)","7(1)(b&c)","7(3)","8(2)","10(2)(a)Q","10(2)(a)T","10(2)(b)","11(2)","11(2)F","12(2)","12(2)C","12(2)E","12(A)","13(4)","13(5)","14","16(2)","21(3)","25B(5)","27","29"
"Albania","Malta","Amended by MLI","2019","2021","In Force","0.45","0.25","0.84","0.25","0.53","6","YES","6","NO","NO","YES","NO","YES","NO","NO","NO","5","25","15","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Netherlands","Amended by MLI","2019","2021","In Force","0.38","0.31","0.58","0.25","0.38","9","NO","9","NO","NO","NO","NO","YES","NO","NO","NO","0","","15","10","5","10","10","10","0","YES","NO","YES","NO","NO","YES","YES","PPT"
"Albania","Poland","Amended by MLI","2019","2021","In Force","0.16","0.28","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","10","10","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Qatar","Amended by MLI","2019","2021","In Force","0.35","0.2","0.59","0.25","0.41","6","YES","6","YES","YES","NO","YES","YES","NO","NO","NO","5","","5","5","5","6","6","6","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Serbia","Amended by MLI","2019","2021","In Force","0.57","0.5","0.83","0.38","0.62","9","YES","9","NO","NO","YES","NO","YES","NO","YES","NO","5","25","15","10","10","10","10","10","10","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Singapore","Amended by MLI","2019","2021","In Force","0.29","0.19","0.31","0.38","0.29","12","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","","5","5","5","5","5","5","0","YES","NO","YES","NO","YES","NO","NO","PPT"
"Albania","Slovenia","Amended by MLI","2019","2021","In Force","0.32","0.27","0.44","0.25","0.29","12","YES","6","YES","YES","NO","NO","YES","NO","NO","NO","5","25","10","7","7","7","7","7","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","United Arab Emirates","Amended by MLI","2019","2021","In Force","0.38","0.16","0.72","0.25","0.47","6","YES","9","YES","YES","YES","YES","YES","NO","NO","NO","5","10","10","0","0","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","PPT"
"Albania","United Kingdom","Amended by MLI","2019","2021","In Force","0.12","0.13","0.09","0.13","0.12","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","6","0","0","0","0","0","YES","NO","NO","NO","NO","YES","YES","PPT"
"Albania","Hungary","Amended by MLI","2019","2022","In Force","0.11","0.16","0.06","0.13","0.06","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","10","0","0","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","PPT"
"Albania","Austria","Amended by MLI","2019","2021","In Force","0.23","0.25","0.33","0.13","0.21","9","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","5","5","5","5","5","0","NO","NO","YES","NO","NO","NO","NO","PPT"
"Algeria","Tunisia","Original","1985","1986","In Force","0.6","0.67","0.75","0.38","0.53","0","YES","0","NO","NO","YES","NO","NO","NO","YES","NO","NO LIMIT","","NO LIMIT","","","NO LIMIT","NO LIMIT","NO LIMIT","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Libya","Original","1988","null","In Force","0.57","0.75","0.63","0.33","0.47","0","YES","0","NO","NO","NO","NO","NO","NO","NO","NO","NO LIMIT","","NO LIMIT","NO LIMIT","NO LIMIT","NO LIMIT","NO LIMIT","NO LIMIT","0","","","YES","NO","YES","NO","NO","NA"
"Algeria","Morocco","Original","1990","null","In Force","0.46","0.4","0.73","0.25","0.47","3","YES","3","NO","NO","YES","NO","NO","NO","YES","NO","12","","12","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Italy","Original","1991","1996","In Force","0.46","0.52","0.48","0.38","0.41","3","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","15","","15","15","15","15","5","15","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Belgium","Original","1991","2004","In Force","0.46","0.52","0.61","0.25","0.41","3","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","15","","15","15","15","15","5","15","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Romania","Original","1994","1997","In Force","0.51","0.56","0.72","0.25","0.47","6","YES","6","NO","NO","YES","NO","NO","NO","YES","NO","15","","15","15","15","15","15","15","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Turkey","Original","1994","1997","In Force","0.46","0.4","0.72","0.25","0.47","6","YES","6","NO","NO","YES","NO","NO","NO","YES","NO","12","","12","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Indonesia","Original","1995","2001","In Force","0.68","0.56","0.98","0.5","0.71","3","YES","3","NO","NO","YES","YES","YES","YES","YES","NO","15","","15","15","15","15","15","15","0","NO","NO","YES","NO","YES","NO","YES","NA"
"Algeria","Syria","Original","1997","2002","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Algeria","Jordan","Original","1997","2002","In Force","0.64","0.56","0.84","0.5","0.65","6","YES","6","NO","NO","YES","YES","NO","NO","YES","NO","15","","15","15","15","15","15","15","0","YES","YES","YES","NO","NO","NO","YES","NA"
"Algeria","South Africa","Original","1998","2001","In Force","0.38","0.41","0.34","0.38","0.35","6","YES","6","YES","YES","NO","NO","NO","NO","YES","NO","10","25","15","10","10","10","10","10","0","NO","NO","YES","NO","YES","NO","YES","NA"
"Algeria","Bulgaria","Original","1998","2006","In Force","0.36","0.38","0.45","0.25","0.32","9","NO","9","YES","YES","NO","YES","YES","NO","YES","NO","10","","10","10","10","10","10","10","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Canada","Original","1999","2000","In Force","0.52","0.56","0.61","0.38","0.47","3","YES","3","NO","NO","NO","NO","NO","NO","YES","NO","15","","15","15","15","15","15","15","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Algeria","France","Original","1999","2002","In Force","0.27","0.32","0.11","0.38","0.24","3","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","5","10","15","12","0","12","5","12","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Oman","Original","2000","2004","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Algeria","Bahrain","Original","2000","2004","In Force","0.36","0","0.47","0.63","0.53","6","YES","6","YES","YES","NO","NO","YES","NO","YES","NO","0","","0","0","0","0","0","0","0","YES","NO","YES","YES","YES","NO","NO","NA"
"Algeria","Egypt","Original","2001","2004","In Force","0.59","0.31","0.83","0.63","0.68","9","YES","NO","NO","NO","YES","YES","YES","NO","YES","NO","10","","10","5","5","10","10","10","0","YES","NO","YES","YES","YES","NO","NO","NA"
"Algeria","United Arab Emirates","Original","2001","2005","In Force","0.28","0.13","0.45","0.25","0.32","9","YES","NO","YES","YES","YES","NO","YES","NO","NO","NO","0","","0","0","0","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","South Korea","Original","2001","2007","In Force","0.23","0.34","0.09","0.25","0.18","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","10","10","10","10","2","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Lebanon","Original","2002","2007","In Force","0.3","0.44","0.47","0","0.24","6","YES","3","YES","YES","NO","YES","NO","NO","NO","NO","15","","15","10","10","10","10","10","0","NO","NO","NO","NO","NO","NO","NO","NA"
"Algeria","Spain","Original","2002","2006","In Force","0.12","0.27","0.09","0","0.06","6","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","10","15","5","0","7","14","7","0","NO","NO","NO","NO","NO","NO","YES","NA"
"Algeria","Ukraine","Original","2002","2005","In Force","0.49","0.38","0.72","0.38","0.53","6","YES","6","NO","NO","YES","NO","NO","NO","YES","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Austria","Original","2003","2006","In Force","0.22","0.31","0.09","0.25","0.18","6","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","5","10","15","10","0","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Portugal","Original","2003","2007","In Force","0.27","0.47","0.09","0.25","0.18","6","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","10","25","15","15","15","10","10","10","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Russia","Original","2006","2008","In Force","0.45","0.5","0.59","0.25","0.41","6","YES","3","NO","NO","NO","NO","NO","NO","YES","NO","5","25","15","15","15","15","15","15","0","NO","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Kuwait","Original","2006","2017","In Force","0.43","0.19","0.84","0.25","0.53","6","YES","6","NO","NO","YES","NO","YES","NO","YES","NO","0","","0","0","0","15","15","15","0","NO","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Switzerland","Original","2006","2010","In Force","0.3","0.31","0.34","0.25","0.29","6","YES","6","YES","YES","NO","NO","NO","NO","NO","NO","5","20","15","10","0","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","China","Original","2006","2008","In Force","0.26","0.31","0.09","0.38","0.24","6","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","5","25","10","7","7","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Germany","Original","2007","2009","In Force","0.32","0.38","0.22","0.38","0.29","6","YES","NO","YES","YES","NO","NO","NO","NO","YES","NO","5","10","15","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","YES","NA"
"Algeria","Qatar","Original","2008","2012","In Force","0.39","0.06","0.72","0.38","0.53","6","YES","6","NO","NO","NO","YES","NO","NO","NO","NO","0","","0","0","0","5","5","5","0","NO","NO","YES","YES","YES","NO","YES","NA"
"Algeria","Iran","Original","2008","2011","In Force","0.33","0.19","0.56","0.25","0.35","12","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","5","","5","5","5","5","5","5","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Algeria","Bosnia and Herzegovina","Original","2009","2011","In Force","0.33","0.4","0.33","0.25","0.26","9","YES","3","YES","YES","NO","NO","NO","NO","NO","NO","10","","10","10","10","12","12","12","0","NO","NO","YES","NO","YES","NO","YES","NA"
"Algeria","Mauritania","Original","2011","2017","In Force","0.43","0.44","0.48","0.38","0.41","3","YES","1","YES","YES","NO","NO","YES","NO","YES","NO","10","","10","10","10","15","15","15","0","NO","NO","YES","NO","YES","NO","YES","NA"
"Algeria","Saudi Arabia","Original","2013","2017","In Force","0.39","0.09","0.72","0.38","0.53","6","YES","6","NO","NO","YES","NO","NO","NO","YES","NO","0","","0","0","0","7","7","7","0","NO","YES","YES","NO","NO","NO","NO","NA"
"Algeria","United Kingdom","Original","2015","2017","In Force","0.27","0.34","0.22","0.25","0.24","6","NO","6","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","7","7","10","10","10","0","YES","NO","YES","NO","NO","YES","YES","NA"
"Algeria","Netherlands","Original","2018","2021","In Force","0.21","0.28","0.22","0.13","0.18","6","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","10","15","8","0","5","15","5","0","NO","NO","YES","NO","NO","YES","YES","NA"
"Libya","Algeria","Multilateral","1990","1994","In Force","0.74","1","0.73","0.5","0.67","3","YES","0","NO","NO","YES","NO","NO","NO","YES","NO","NO LIMIT","","NO LIMIT","NO LIMIT","NO LIMIT","NO LIMIT","NO LIMIT","NO LIMIT","NO LIMIT","YES","","YES","","NO","NO","YES","NA"
"Angola","United Arab Emirates","Original","2018","2018","In Force","0.5","0.28","0.72","0.5","0.67","6","YES","6","YES","YES","YES","YES","YES","YES","YES","NO","8","","8","8","0","8","8","0","5","","","YES","NO","NO","NO","NO","PPT"
"Angola","Portugal","Original","2018","2020","In Force","0.63","0.43","0.84","0.63","0.76","6","NO","6","NO","NO","YES","YES","YES","YES","YES","NO","8","25","15","10","10","8","8","8","5","YES","NO","NO","YES","YES","NO","NO","PPT"
"Angola","China","Original","2018","2023","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guyana","Antigua and Barbuda","Multilateral","1994","1998","In Force","","0.56","","0.5","0.57","","","","","","","","","","","NO","0","","0","15","15","15","15","15","15","YES","YES","YES","NO","NO","NO","NO","NA"
"Argentina","Bolivia","Original","1976","1980","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Argentina","Canada","Original","1993","1995","In Force","0.54","0.58","0.59","0.43","0.56","6","YES","6","YES","YES","NO","YES","YES","YES","NO","NO","10","25","15","12.5","12.5","10","15","10","10","","YES","YES","NO","NO","NO","NO","NA"
"Argentina","Finland","Original","1994","1997","In Force","0.69","0.61","0.84","0.63","0.76","6","YES","6","NO","NO","NO","YES","YES","YES","NO","NO","10","25","15","15","15","10","15","10","10","YES","YES","YES","NO","YES","NO","NO","NA"
"Argentina","Sweden","Original","1995","1998","In Force","0.63","0.54","0.84","0.5","0.71","6","YES","6","NO","NO","NO","YES","YES","YES","NO","NO","10","25","15","12.5","12.5","10","5","10","10","NO","YES","YES","NO","YES","NO","NO","NA"
"Argentina","Denmark","Original","1995","1998","In Force","0.58","0.58","0.59","0.57","0.63","6","YES","6","YES","YES","NO","YES","YES","YES","NO","NO","10","25","15","12","12","10","15","10","10","","YES","YES","NO","YES","NO","NO","NA"
"Argentina","United Kingdom","Original","1996","1998","In Force","0.64","0.58","0.84","0.5","0.71","6","YES","6","NO","NO","NO","YES","YES","NO","NO","NO","10","25","15","12","12","10","15","10","10","YES","YES","YES","NO","YES","NO","NO","NA"
"Argentina","Belgium","Original","1996","2000","In Force","0.61","0.54","0.72","0.57","0.69","6","YES","6","NO","NO","NO","YES","NO","YES","NO","NO","10","25","15","12","12","10","5","10","10","","YES","YES","NO","YES","NO","NO","NA"
"Argentina","Netherlands","Original","1996","1999","In Force","0.58","0.54","0.59","0.63","0.65","6","YES","6","YES","YES","NO","YES","YES","YES","NO","NO","10","25","15","12","12","10","5","10","10","YES","YES","YES","NO","YES","NO","NO","NA"
"Argentina","Norway","Original","1997","2002","In Force","0.6","0.54","0.84","0.43","0.69","6","YES","6","NO","NO","NO","YES","YES","YES","NO","NO","10","25","15","12.5","12.5","10","5","10","10","NO","","YES","NO","YES","NO","NO","NA"
"Argentina","Australia","Original","1999","2000","In Force","0.7","0.64","0.72","0.75","0.76","6","YES","6","NO","NO","NO","YES","NO","YES","YES","NO","10","25","15","12","12","15","10","10","15","YES","YES","YES","NO","YES","NO","NO","NA"
"Argentina","Russia","Original","2001","2013","In Force","0.65","0.72","0.72","0.5","0.65","6","YES","1","NO","NO","NO","YES","NO","YES","NO","NO","10","25","15","15","15","15","15","15","15","YES","YES","YES","NO","NO","NO","NO","NA"
"Argentina","Spain","Original","2013","2013","In Force","0.72","0.58","0.97","0.63","0.82","6","YES","6","NO","NO","YES","YES","YES","YES","NO","NO","10","25","15","12","12","10","15","10","10","YES","YES","YES","NO","YES","NO","NO","NA"
"Argentina","Chile","Original","2015","2010","In Force","0.65","0.6","0.84","0.5","0.71","6","YES","6","NO","NO","NO","YES","YES","NO","NO","NO","10","25","15","15","12","10","15","10","10","YES","YES","YES","NO","YES","NO","YES","LOB-PPT"
"Argentina","Mexico","Original","2015","2018","In Force","0.68","0.58","0.97","0.5","0.76","6","YES","6","NO","NO","YES","YES","YES","NO","NO","NO","10","25","15","12","12","10","15","10","10","YES","YES","YES","NO","YES","NO","NO","LOB-PPT"
"Argentina","United Arab Emirates","Original","2016","2020","In Force","0.72","0.56","0.97","0.63","0.82","6","YES","6","NO","NO","YES","YES","YES","YES","NO","NO","10","25","15","12","12","10","10","10","10","YES","YES","YES","NO","YES","NO","NO","LOB"
"Argentina","Qatar","Original","2018","2022","In Force","0.65","0.6","0.84","0.5","0.71","6","YES","6","NO","NO","NO","YES","YES","NO","NO","NO","10","25","15","12","12","10","10","NO LIMIT","10","YES","YES","YES","NO","YES","NO","NO","PPT"
"Argentina","Germany","Amended by protocol","1996","2001","In Force","0.35","0.57","0.22","0.25","0.24","6","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","15","","15","15","10","15","NO LIMIT","NO LIMIT","0","NO","YES","YES","NO","NO","NO","NO","NA"
"Argentina","Italy","Amended by protocol","1997","1979","In Force","0.36","0.63","0.2","0.25","0.21","9","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","15","","15","20","20","18","10","18","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Argentina","France","Amended by protocol","2001","2008","In Force","0.35","0.67","0.22","0.17","0.2","6","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","15","","15","20","20","18","18","NO LIMIT","0","","","YES","NO","NO","NO","NO","NA"
"Argentina","Brazil","Amended by protocol","2017","2018","In Force","0.4","0.61","0.34","0.25","0.35","6","NO","NO","YES","YES","NO","YES","YES","NO","NO","NO","10","25","15","15","15","10","15","10","10","NO","NO","YES","NO","YES","NO","NO","LOB-PPT"
"Argentina","Switzerland","Amended by protocol","2018","2018","In Force","0.66","0.58","0.84","0.57","0.75","6","YES","6","NO","NO","NO","YES","YES","YES","NO","NO","10","25","15","12","12","10","15","10","10","YES","YES","YES","NO","","NO","NO","NA"
"Armenia","United States","Pre-independence","1973","1976","In Force","0.1","0.17","0.14","0","0.08","","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","","","","0","NO LIMIT","0","0","0","0","","","NO","","","NO","NO","NA"
"Armenia","Japan","Pre-independence","1986","1987","In Force","0.15","0.4","0.06","0","0","12","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","15","","15","10","10","10","0","10","0","NO","NO","NO","NO","NO","NO","NO","NA"
"Armenia","Malaysia","Pre-independence","1987","1989","In Force","0.34","0.33","0.56","0.13","0.29","12","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","0","","0","15","15","10","15","10","0","NO","NO","NO","NO","YES","NO","NO","NA"
"Armenia","Iran","Original","1995","1998","In Force","0.47","0.34","0.56","0.5","0.47","12","YES","NO","NO","NO","NO","NO","YES","YES","NO","NO","10","25","15","10","10","5","5","5","0","YES","NO","YES","NO","YES","NO","YES","NA"
"Armenia","Romania","Original","1996","1998","In Force","0.39","0.34","0.45","0.38","0.38","9","YES","9","YES","YES","NO","YES","NO","NO","NO","NO","5","25","10","10","10","10","10","10","0","YES","NO","YES","NO","YES","NO","YES","NA"
"Armenia","Turkmenistan","Original","1997","2000","In Force","0.6","0.38","0.94","0.5","0.65","12","YES","12","NO","NO","YES","YES","YES","NO","NO","NO","5","25","15","10","10","10","10","10","0","YES","YES","YES","NO","YES","NO","YES","NA"
"Armenia","Georgia","Original","1997","2001","In Force","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","Lebanon","Original","1998","2001","In Force","0.32","0.26","0.45","0.25","0.32","9","YES","6","YES","YES","NO","YES","NO","NO","NO","NO","5","25","10","8","8","5","5","5","0","NO","NO","YES","NO","YES","NO","NO","NA"
"Armenia","Estonia","Original","2001","2004","In Force","0.28","0.38","0.2","0.25","0.21","9","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","5","25","15","10","10","10","10","10","0","YES","NO","YES","NO","NO","NO","NO","NA"
"Armenia","Italy","Original","2002","2009","In Force","0.27","0.24","0.2","0.38","0.26","9","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","5","10","10","10","0","7","7","7","0","YES","NO","YES","NO","NO","NO","NO","NA"
